地区,センター,可燃ごみ,空缶・空びん,燃えないごみ,ペットボトル
大隈,クリーンパークわかすぎ,日 水,火2 火4,火1 火3,火1 火3
上大隈,クリーンパークわかすぎ,日 水,金2 金4,金1 金3,金1 金3
江辻,クリーンパークわかすぎ,日 水,金2 金4,金1 金3,金1 金3
戸原　薬師、東、南、南の２、堀の内１・２,クリーンパークわかすぎ,月 木,月1 月3,月2 月4,月2 月4
戸原　駅前、草場、南の３・５,クリーンパークわかすぎ,日 水,金2 金4,木2 木4,木2 木4
戸原　野間、南の６,クリーンパークわかすぎ,日 水,金2 金4,木2 木4,木2 木4
戸原　戸原,クリーンパークわかすぎ,火 金,金2 金4,木2 木4,木2 木4
戸原　広田,クリーンパークわかすぎ,火 金,金2 金4,月1 月3,月1 月3
長者原上　葛葉,クリーンパークわかすぎ,日 水,金1 金3,金2 金4,金2 金4
長者原上　その他の組合,クリーンパークわかすぎ,月 木,金1 金3,金2 金4,金2 金4
長者原中,クリーンパークわかすぎ,月 木,金1 金3,金2 金4,金2 金4
長者原下,クリーンパークわかすぎ,月 木,火2 火4,木2 木4,木2 木4
内橋一,クリーンパークわかすぎ,火 金,月2 月4,木1 木3,木1 木3
内橋二,クリーンパークわかすぎ,火 金,金1 金3,木1 木3,木1 木3
内橋三,クリーンパークわかすぎ,火 金,月1 月3,木1 木3,木1 木3
朝日,クリーンパークわかすぎ,日 水,火2 火4,火1 火3,火1 火3
長戸,クリーンパークわかすぎ,月 木,月1 月3,月2 月4,月2 月4
多の津,クリーンパークわかすぎ,火 金,月2 月4,木1 木3,木1 木3
酒殿,クリーンパークわかすぎ,火 金,火1 火3,火2 火4,火2 火4
甲中原　十原,クリーンパークわかすぎ,火 金,木1 木3,木2 木4,木2 木4
甲中原　その他の組合,クリーンパークわかすぎ,火 金,木1 木3,木2 木4,木2 木4
駕与丁,クリーンパークわかすぎ,火 金,火1 火3,火2 火4,火2 火4
花ケ浦,クリーンパークわかすぎ,火 金,木2 木4,木1 木3,木1 木3
乙仲原東,クリーンパークわかすぎ,日 水,火1 火3,月2 月4,月2 月4
乙仲原西　日守,クリーンパークわかすぎ,火 金,木2 木4,月2 月4,月2 月4
乙仲原西　その他の組合,クリーンパークわかすぎ,日 水,木2 木4,月2 月4,月2 月4
若宮７組,クリーンパークわかすぎ,月 木,火2 火4,木2 木4,木2 木4
若宮　その他の組合,クリーンパークわかすぎ,月 木,月2 月4,月1 月3,月1 月3
原町,クリーンパークわかすぎ,月 木,木1 木3,木2 木4,木2 木4
阿恵,クリーンパークわかすぎ,火 金,月2 月4,月1 月3,月1 月3
柚須　東の１・２・３、西の２・３、堅町の１・２・３・４・５、駅前,クリーンパークわかすぎ,日 水,20180806 20180820 20180903 20180917 20181008 20181022 20181105 20181119 20181203 20181217,20180806 20180820 20180903 20180917 20181008 20181022 20181105 20181119 20181203 20181217,20180806 20180820 20180903 20180917 20181008 20181022 20181105 20181119 20181203 20181217
柚須　その他の組合,クリーンパークわかすぎ,火 金,20180806 20180820 20180903 20180917 20181008 20181022 20181105 20181119 20181203 20181217,20180806 20180820 20180903 20180917 20181008 20181022 20181105 20181119 20181203 20181217,20180806 20180820 20180903 20180917 20181008 20181022 20181105 20181119 20181203 20181217
サンライフ,クリーンパークわかすぎ,火 金,金2 金4,月1 月3,月1 月3
